feature,auc,auc_strength,auc_bull,auc_bear,spear_abs,spear_signed
htf_pivot_dist_pct,0.6346773012402277,0.1346773012402277,0.633917385652137,0.6356387152831896,0.1885377316920999,0.0256680583611652
htf_bbw_ema50,0.45761920555418456,0.04238079444581544,0.44532350400349235,0.4731752229910718,-0.10364050297880034,-0.03552901952959533
htf_bbw_ema100,0.45775767697144193,0.04224232302855807,0.4455621192950278,0.4731869964848273,-0.10395299379018272,-0.03528339397089015
htf_bbw_ema10,0.4580884995406184,0.04191150045938158,0.4461125986847907,0.4732399182512653,-0.10614159024225689,-0.03543636248464191
htf_bb_bandwidth,0.4581266439664143,0.04187335603358572,0.4464016068935277,0.4729606801051413,-0.10859170645852388,-0.03565528397913343
htf_plus_di,0.4588513317292837,0.04114866827071628,0.44687781959593814,0.47399972832619164,-0.14418802314359613,-0.034731662241620415
htf_minus_di,0.45918731193231704,0.040812688067682956,0.4467124795405205,0.4749699583644033,-0.12498677827458832,-0.03682816548057873
htf_rsi,0.45961492219928424,0.04038507780071576,0.4478760099863476,0.47446651259627537,-0.14903947981710577,-0.03285096449394979
htf_trend_state,0.4599955205773204,0.040004479422679595,0.4464066900372299,0.47718755178896366,-0.13387254514582878,-0.036952054710543754
htf_adx,0.4602905199861309,0.03970948001386909,0.44805086776496317,0.47577562610951435,-0.13189213329174412,-0.03573012621926382
ltf_bbw_ema100,0.4617415476484061,0.03825845235159392,0.4631733899835749,0.4599300394362941,-0.1721914966083226,-0.010704502076535205
ltf_bbw_ema50,0.46204672072987535,0.03795327927012465,0.4634585527108137,0.460260528797444,-0.17320276093578174,-0.010688551278329022
ltf_adx,0.4622207525117389,0.037779247488261114,0.4631432764345742,0.4610536130711461,-0.18675380774189662,-0.012646170686859241
ltf_plus_di,0.46225672309411664,0.03774327690588336,0.46325687010796934,0.46099137810157587,-0.18932009995787855,-0.012153617758244447
ltf_bbw_ema10,0.4623234598151275,0.03767654018487249,0.46371519008890744,0.4605626997383556,-0.17596812827921363,-0.010864754082221545
ltf_rsi,0.4623661135286997,0.03763388647130028,0.46326415697895074,0.4612299457782393,-0.19001360944582216,-0.012264316783192697
ltf_bb_bandwidth,0.46238198693644644,0.03761801306355356,0.4637029306605067,0.46071078309989344,-0.17733009569564,-0.010963871286029166
ltf_minus_di,0.4624953173651092,0.03750468263489082,0.46325831120720323,0.46153000884140116,-0.18852119016921615,-0.012198520729603266
htf_retrace_pct,0.46326916191977474,0.03673083808022526,0.4508437538990576,0.4789892786641364,-0.13354883266947185,-0.03350138130201955
p2_bbw_ema50,0.4658371236157307,0.03416287638426929,0.4695805081357769,0.4611011470123027,0.37583525431260273,0.020689375853445918
p2_bbw_ema100,0.4666305352861738,0.03336946471382618,0.4731276733986117,0.4584106225507954,0.40333926862870373,0.024904812960376433
p3_bbw_ema50,0.4666371572343201,0.03336284276567991,0.4718239863151325,0.46007499375868444,0.3634381103383132,0.021402445155845322
p1_bbw_ema100,0.4666944136905532,0.0333055863094468,0.4722719734337306,0.4596379138021623,0.4203625176312297,0.023800684565513923
p3_bbw_ema10,0.46841251429337494,0.03158748570662506,0.4708039544383374,0.46538696227904414,0.29824638775427004,0.016675719386133304
p1_bbw_ema50,0.46882607227088435,0.031173927729115647,0.47170223603398376,0.46518726781018244,0.3948272452348835,0.01949399803749791
p3_bbw_ema100,0.46940460305446907,0.030595396945530928,0.47719983938893396,0.4595423896749677,0.39123705891765187,0.02631221324882884
p3_bb_bandwidth,0.4701122232718743,0.029887776728125703,0.47273923734111567,0.4667886327878676,0.271960594733411,0.017324846340628513
curr_bbw_ema100,0.4701276145960467,0.029872385403953317,0.4728331045777247,0.46670473960540104,0.43410468450885914,0.0210572328604441
p4_bbw_ema50,0.47154800023387233,0.028451999766127667,0.47887664285217035,0.46227610209215636,0.3548001871711572,0.02421366128437003
p2_bbw_ema10,0.4728410820117287,0.027158917988271303,0.4753160517886302,0.4697098517320639,0.31342995759831194,0.018569238377189306
p4_bbw_ema10,0.4729870950651759,0.02701290493482411,0.47709881464642934,0.46778511604528283,0.2928853454633592,0.017944692382572826
p5_bbw_ema10,0.47351716460139626,0.026482835398603743,0.47915922558056356,0.4663790603939981,0.2823102390668954,0.01985716525481056
p4_bbw_ema100,0.47389905170808494,0.02610094829191506,0.4834827847944314,0.461774105572475,0.38055059840383854,0.028851613245247473
ltf_stoch_d,0.5256364326044384,0.025636432604438375,0.5246249027869198,0.526916178653444,0.030131307066566484,0.0023415862485722354
p2_bb_bandwidth,0.4745725121671106,0.025427487832889395,0.4772607460013908,0.4711714689465928,0.289151192319002,0.01990933641753077
p5_bbw_ema50,0.47465899022991287,0.02534100977008713,0.48283422789093006,0.4643160147533879,0.3440065907849321,0.024892116948066277
curr_bbw_ema50,0.4749050505808865,0.0250949494191135,0.4742993381958335,0.47567137305421386,0.40937411743607643,0.016769497607051646
p4_bb_bandwidth,0.47539629529696736,0.024603704703032636,0.47925504824694865,0.4705143592864786,0.26906514478290183,0.018054098513169612
p5_bb_bandwidth,0.4754895151489979,0.0245104848510021,0.4807221606434755,0.4688693866254199,0.2578622748621396,0.019340196900535497
ltf_stoch_k,0.523975701695047,0.023975701695047036,0.5238575487428812,0.5241251839654596,0.027307635790744522,0.0025807684244026807
p3_leg_size_pct,0.47624913726706175,0.02375086273293825,0.4797748322925809,0.4717885724861092,0.2298783247186631,0.013988286217947512
p5_bbw_ema100,0.4777290194376163,0.02227098056238369,0.48789013015762767,0.4648735987943154,0.369463555693579,0.0293527941630782
p5_leg_size_pct,0.4779456996887908,0.022054300311209196,0.4807785627775596,0.4743616774657792,0.2147667519388542,0.014064958123095547
leg_size_stddev,0.4783247700444744,0.02167522995552562,0.4869606201085057,0.4673990466423111,0.30564500698822544,0.018213654884729646
p6_bbw_ema10,0.4786890412890469,0.02131095871095312,0.4853141638860377,0.47030720783160557,0.2770673728590414,0.016935855430261836
p1_leg_size_pct,0.47896990119827665,0.02103009880172335,0.47837393117253446,0.4797238980380736,0.2491612173373239,0.009227243847998152
p6_bb_bandwidth,0.4790372128457098,0.020962787154290174,0.48559972166364573,0.4707345957741538,0.2530647215928636,0.015117319869077966
p6_bbw_ema50,0.479097799796322,0.020902200203678,0.48896612982175414,0.466612793282811,0.33531982889969686,0.026256934619104874
p1_bbw_ema10,0.4795285531238853,0.020471446876114685,0.4797236923963364,0.47928167091774565,0.3323212896363391,0.014136147161525262
p3_leg_speed,0.48013200094668473,0.019867999053315266,0.48023594718532947,0.4800004924276962,0.19665704401255202,0.007372730516390642
p7_bbw_ema10,0.48073104359000574,0.019268956409994265,0.48885128422817503,0.4704576480917253,0.2654315871349581,0.02165309090769459
p1_bb_bandwidth,0.4812660547742107,0.018733945225789306,0.48118713353692394,0.48136590268758994,0.3043075700777519,0.012504112200662821
p7_bbw_ema50,0.48136930223651153,0.01863069776348847,0.4929434757251052,0.46672613251871836,0.3229792124460979,0.030185263348201364
p2_leg_size_pct,0.481421232854063,0.01857876714593698,0.4812207486371279,0.48167487726480335,0.24650743006931877,0.011054268141146108
p7_bb_bandwidth,0.4818354601546977,0.018164539845302308,0.4889006331830455,0.472896892935049,0.24531597981432085,0.019212855327568824
p6_bbw_ema100,0.48184653117873166,0.018153468821268337,0.49326401354367316,0.46740160064572106,0.3592055820089651,0.030693483353539653
p4_leg_size_pct,0.4820138431195716,0.017986156880428428,0.48724719750555234,0.4753928177355305,0.223043058617294,0.01316299172145192
p5_leg_speed,0.4825316067053415,0.01746839329465849,0.4831499499898574,0.48174930413592293,0.18048923035557846,0.011127473023536512
p8_ema200_dist,0.5173214687109073,0.01732146871090734,0.5184779746840887,0.5158583047742663,-0.030410757790693813,-0.005283477328620053
p4_minus_di,0.483230194556729,0.016769805443271002,0.4731546206328141,0.4959773975529045,0.040231615497882255,-0.0033965222263036116
p4_leg_speed,0.48330556197218977,0.016694438027810232,0.484179795182116,0.4821995179614881,0.1899791617306306,0.010298187619771018
p7_ema200_dist,0.5165758711071398,0.01657587110713976,0.5170681345061738,0.5159530796391341,-0.03373731299314782,-0.003455034665453068
p7_leg_size_pct,0.48390524441538746,0.01609475558461254,0.4889351524478266,0.4775416110158636,0.20453400568769362,0.012855905049920034
p4_ema200_dist,0.516036791347338,0.016036791347338042,0.5213913915204196,0.5092623707649417,-0.04662043461311093,-0.003410534817703036
bars_since_large_leg,0.5160284337429387,0.01602843374293872,0.5291888671904305,0.4993783929671322,-0.04883837149644026,0.009849546011589534
curr_ema200_dist,0.5157068247581421,0.015706824758142113,0.5356394843526882,0.4904888411450937,-0.06003238178140346,0.0023505561030876163
p6_ema200_dist,0.5153974275213247,0.01539742752132467,0.5167441313029857,0.5136936331161439,-0.040514836931551244,-0.004827894532415702
p7_bbw_ema100,0.48464701992383863,0.015352980076161371,0.49720951824816983,0.46875346214850705,0.3471898608109681,0.03257731101348874
p6_leg_speed,0.4849078824936337,0.015092117506366298,0.4878506793705889,0.48118477654946296,0.17772447469185004,0.009397724938571718
p2_ema200_dist,0.514996192392441,0.014996192392440988,0.5272151938074581,0.499537212822247,-0.05475088147899968,-0.0033357033793349746
p3_ema200_dist,0.5149910382547584,0.014991038254758449,0.523045529664238,0.5048008259846772,-0.048645436860685336,-0.003086139798848339
p6_leg_size_pct,0.4850475206619107,0.014952479338089297,0.49295558909615106,0.4750425567362684,0.21168873562307788,0.01568175230402364
p8_leg_speed,0.4853487937610719,0.014651206238928127,0.49398843611480614,0.474418272509473,0.16857497583861328,0.018441896918308828
p5_ema200_dist,0.5145925124666395,0.014592512466639507,0.5174380146722556,0.5109924997512387,-0.04100549256967246,-0.0022735753976425477
p8_bbw_ema50,0.4854133898523195,0.014586610147680479,0.49771368980584235,0.4698515547047213,0.31455629666662804,0.029107029848946142
p1_ema200_dist,0.5145097030559531,0.014509703055953116,0.5283229974605891,0.4970336893666589,-0.056562209072612446,-0.0029880349873422983
p7_leg_speed,0.4857129140874585,0.01428708591254152,0.4895705829682,0.48083234959692145,0.17062425269480225,0.012805414175665622
p8_bbw_ema10,0.4859347181761392,0.014065281823860798,0.49742809168858393,0.47139377327509946,0.26201457573674014,0.02535911128657904
p2_leg_speed,0.4863036399150791,0.013696360084920922,0.48837008053729825,0.4836892639708513,0.20470191138920196,0.009172295281529677
trend2_bars,0.5136733828396856,0.013673382839685555,0.5174042768143226,0.5089532087621549,0.011805268622414065,0.009786976943031456
p3_minus_di,0.48646264883068335,0.013537351169316647,0.4744169449689293,0.5017023794422706,0.033435094362281446,-0.004303962738039239
p8_minus_di,0.48685436076953936,0.013145639230460637,0.4787594506037577,0.4970957091927895,0.028401879994130262,-0.002436958016274006
p8_bb_bandwidth,0.4870498670244326,0.012950132975567408,0.4987682534666204,0.4722242449909675,0.2408695063971701,0.024358330971664902
trend4_bars,0.5121858267610176,0.012185826761017649,0.5093688841460341,0.5157497070533891,0.008148223201666686,-0.005165894998383948
trend2_size_pct,0.5120036925954705,0.012003692595470516,0.5122073930336739,0.5117459791534578,0.057898370347366106,0.00507644290322442
p5_minus_di,0.48815043410711045,0.011849565892889546,0.4809932813470741,0.49720537031181344,0.03088012609424981,-0.00811168817529863
p11_leg_speed,0.4882649485734317,0.011735051426568277,0.4897550996587898,0.4863796705214346,0.1455099550953267,0.01245257846990282
p7_minus_di,0.4884506890426549,0.011549310957345127,0.48210730565249665,0.496476077607865,0.026221953449720916,-0.006100756604512804
p8_bbw_ema100,0.48857722724047675,0.011422772759523248,0.5009691263678295,0.4728995045740225,0.33748048636361555,0.03118126792034241
p8_ema50_dist,0.5113887336191532,0.011388733619153157,0.5156932239446559,0.5059428689578838,-0.022633815188535193,-0.0010189888746441368
p6_minus_di,0.4890731140989535,0.010926885901046512,0.47980782317147086,0.5007951802723662,0.038626162532333176,-0.007844509823872811
curr_bbw_ema10,0.4893867121832911,0.010613287816708894,0.48582949665990516,0.49388715540569855,0.34671266475158535,0.010299311748853384
curr_retrace_pct,0.5103973285543449,0.010397328554344942,0.5115423928540686,0.5089486401538158,0.004695067408517234,0.0006744188041333865
p8_leg_duration,0.5102604515867498,0.01026045158674982,0.5080833460799093,0.5130148362053685,-0.010922710212053788,-0.003294308802573639
p8_macd_line,0.5102100419992026,0.010210041999202613,0.5172559868685425,0.5012958014579115,-0.02654183650804478,0.0017185384531269103
p9_leg_size_pct,0.4898119196074308,0.010188080392569188,0.4970045695246679,0.48071207385493986,0.1940011948813684,0.021274221229116826
p10_leg_speed,0.489841550654844,0.010158449345155973,0.4933265059216962,0.4854325281460899,0.15740357459979515,0.01249853443956491
trend1_size_pct,0.4898419472763825,0.010158052723617472,0.49304478354067366,0.4857898501618424,0.04121244717005003,0.003867365644501265
mkt_bars_since_reversal,0.5099814873808581,0.009981487380858134,0.5086232769988562,0.511699839464981,0.015440975673753705,0.003045740006003106
