iter	MultiClass
190	0.4361128152
191	0.4349487428
192	0.4337454147
193	0.4317127424
194	0.4313538202
195	0.4306324126
196	0.429161976
197	0.4283051504
198	0.4279090049
199	0.4272803055
200	0.4265122786
201	0.4254972533
202	0.4246119938
203	0.4231706495
204	0.4219383605
205	0.4197937574
206	0.4188450255
207	0.4166360398
208	0.4160301662
209	0.4152175321
210	0.4141898004
211	0.4133692094
212	0.4121888901
213	0.4106274738
214	0.4098272169
215	0.4090948449
216	0.4082245852
217	0.4074078198
218	0.4057982577
219	0.4052702246
220	0.4040721154
221	0.4031143868
222	0.4025747163
223	0.4001915455
224	0.3995521949
225	0.3984250196
226	0.3980653788
227	0.3969072004
228	0.396467318
229	0.3960491408
230	0.3953924386
231	0.3947054523
232	0.3939257862
233	0.3932101977
234	0.3926639905
235	0.3913393493
236	0.3908071861
237	0.3901675512
238	0.389516565
239	0.3886226316
240	0.3881790056
241	0.3866375947
242	0.3855585888
243	0.3847347955
244	0.3838375142
245	0.383362397
246	0.3826982059
247	0.3821768528
248	0.3814168559
249	0.3807537196
250	0.3796032866
251	0.3789691022
252	0.3784248098
253	0.378119368
254	0.3771962373
255	0.3765265368
256	0.375469756
257	0.3749752224
258	0.3746072668
259	0.3743186321
260	0.3735291534
261	0.3724746853
262	0.3717204422
263	0.3713567137
264	0.3701248823
265	0.3694296691
266	0.3689117381
267	0.3685141685
268	0.3680703647
269	0.3671725437
270	0.3666520759
271	0.3661283673
272	0.3655208176
273	0.3643781521
274	0.3637986154
275	0.3631364535
276	0.3625788817
277	0.3619368874
278	0.3611986319
279	0.3605231776
280	0.3597297929
281	0.3590154763
282	0.3586696563
283	0.3578190989
284	0.3572094167
285	0.3564837485
286	0.3554886943
287	0.3551037037
288	0.3541610982
289	0.3534097668
290	0.3528870923
291	0.3523526329
292	0.3516620865
293	0.3507956046
294	0.3502712506
295	0.3497380052
296	0.3492806482
297	0.3484178622
298	0.347720141
299	0.3470861533
300	0.3463276167
301	0.3452631465
302	0.3447714665
303	0.3440305108
304	0.3435459998
305	0.3431574847
306	0.3428125023
307	0.3423364986
308	0.3418673107
309	0.3411108313
310	0.3402225949
311	0.339795716
312	0.3393927495
313	0.3389562635
314	0.3379559375
315	0.3370906288
316	0.3362814162
317	0.335917303
318	0.3355117901
319	0.3350252468
320	0.3345874908
321	0.3343033429
322	0.3339537104
323	0.3333963252
324	0.3326996655
325	0.3321658504
326	0.3319148141
327	0.3313751402
328	0.3307189308
329	0.3303838576
330	0.3299390827
331	0.3295967858
332	0.3291572507
333	0.328488437
334	0.3281633977
335	0.32785737
336	0.3274042181
337	0.3267882781
338	0.3263217848
339	0.3253686888
340	0.3249070324
341	0.3244502883
342	0.3239858015
343	0.3232345481
344	0.322356199
345	0.3219344747
346	0.3214640723
347	0.3207615456
348	0.3205288985
349	0.3202661791
350	0.3198005643
351	0.3191600643
352	0.318831055
353	0.3181654498
354	0.317717762
355	0.3172311472
356	0.316416041
357	0.3158054872
358	0.3153959436
359	0.3148225844
360	0.3144500822
361	0.3140625956
362	0.3136009284
363	0.3132148197
364	0.3128340779
365	0.3124745925
366	0.3120625973
367	0.3116316257
368	0.3110856917
369	0.3106753934
370	0.3102471062
371	0.3095500196
372	0.3089345401
373	0.308736759
374	0.3084363688
375	0.3077937325
376	0.3070170419
377	0.3066086296
378	0.3062596388
379	0.3057995377
380	0.3055753952
381	0.3051231733
382	0.3048525188
383	0.3038137306
384	0.3029268713
385	0.3025030737
386	0.3016807167
387	0.3010581465
388	0.3004628754
389	0.3000967261
390	0.299777045
391	0.2993751739
392	0.2991131884
393	0.2985487258
394	0.297890152
395	0.2973826749
396	0.2970221436
397	0.2967022314
398	0.2961947056
399	0.2958625847
400	0.2956490422
401	0.2952331268
402	0.2949234522
403	0.2943772083
404	0.2938615889
405	0.2934026939
406	0.2930965952
407	0.2926966559
408	0.2924574374
409	0.292019871
410	0.2914457941
411	0.2907618235
412	0.2902473611
413	0.2897966096
414	0.2891221318
415	0.2889365031
416	0.2885150819
417	0.2880286719
418	0.2876771579
419	0.287347764
420	0.2866828559
421	0.2861361764
422	0.2855494835
423	0.2850851384
424	0.2845207113
425	0.2842749579
426	0.2839949705
427	0.2835972682
428	0.2833990709
429	0.2831647659
430	0.2828052132
431	0.2824910844
432	0.2820898106
433	0.2818955383
434	0.2816577388
435	0.281189474
436	0.2808369881
437	0.2805942884
438	0.2802307142
439	0.2796860088
440	0.278551062
441	0.2781174549
442	0.277700252
443	0.2772524178
444	0.2769092686
445	0.2764542984
446	0.2761457929
447	0.275750448
448	0.2755541142
449	0.2752301027
450	0.2749308463
451	0.2744574601
452	0.274146953
453	0.2737538082
454	0.27327651
455	0.2721330065
456	0.2715402696
457	0.2712463268
458	0.2708077135
459	0.270542226
460	0.2703214119
461	0.2700205754
462	0.2696331795
463	0.2693855222
464	0.2690585381
465	0.2686012884
466	0.268291069
467	0.2679101792
468	0.2672914688
469	0.266944347
470	0.2664437949
471	0.2662140663
472	0.2658278445
473	0.2655683963
474	0.2651570854
475	0.2647082661
476	0.2644586383
477	0.2639950077
478	0.2637514559
479	0.2635520942
480	0.2632921567
481	0.2629865217
482	0.2626487744
483	0.2621534807
484	0.261674567
485	0.2613140919
486	0.2610485212
487	0.2607222749
488	0.2604025904
489	0.2598337879
490	0.2594953594
491	0.2593766015
492	0.2589706668
493	0.2585799872
494	0.258311692
495	0.2579567499
496	0.2576180548
497	0.257345748
498	0.2570644091
499	0.2568023628
